objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
166936,AT,2024abzc,338.89209985,1.86025075,,,,74.0,ALeRCE,48.0,ZTF,2024-11-18 03:36:43.001,19.5382,111.0,r,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abtpjwc,2024TNSTR4597....1F,,2024-11-23 22:00:42,2024-11-23 22:00:42
166935,AT,2024abzb,337.69433,-17.4465047,,,,74.0,ALeRCE,48.0,ZTF,2024-11-23 02:56:06.003,20.1877,111.0,r,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abtpjyl,2024TNSTR4597....1F,,2024-11-23 22:00:41,2024-11-23 22:00:41
166934,AT,2024abza,342.2751338,-9.3979231,,,,74.0,ALeRCE,48.0,ZTF,2024-11-23 02:56:47.000,19.9275,111.0,r,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abtpkiy,2024TNSTR4597....1F,,2024-11-23 22:00:40,2024-11-23 22:00:40
166933,AT,2024abyz,26.88408460000404,13.94365575,,,,74.0,ALeRCE,48.0,ZTF,2024-11-20 06:29:21.998,20.1794,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abtqndt,2024TNSTR4597....1F,,2024-11-23 22:00:40,2024-11-23 22:00:40
166932,AT,2024abyy,6.714039,-12.173450199999998,,,,74.0,ALeRCE,48.0,ZTF,2024-11-23 05:29:22.004,19.9888,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abtqrov,2024TNSTR4597....1F,,2024-11-23 22:00:39,2024-11-23 22:00:39
166930,AT,2024abyw,109.3842573458098,32.55216133285191,,,,74.0,ALeRCE,48.0,ZTF,2024-11-17 09:46:23.998,19.7667,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abtrckg,2024TNSTR4597....1F,,2024-11-23 22:00:37,2024-11-23 22:00:37
166929,AT,2024abyv,68.831615,-0.1312195,,,,74.0,ALeRCE,48.0,ZTF,2024-11-23 07:00:16.998,20.2677,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abtrdou,2024TNSTR4597....1F,,2024-11-23 22:00:37,2024-11-23 22:00:37
166928,AT,2024abyu,71.8257136,0.0548581,,,,74.0,ALeRCE,48.0,ZTF,2024-11-23 07:00:16.998,19.8914,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abtrjtf,2024TNSTR4597....1F,,2024-11-23 22:00:36,2024-11-23 22:00:36
166927,AT,2024abyt,150.8929736,36.3167184,,,,74.0,ALeRCE,48.0,ZTF,2024-11-23 10:59:51.996,19.6198,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abttmdn,2024TNSTR4597....1F,,2024-11-23 22:00:35,2024-11-23 22:00:35
166926,AT,2024abys,156.91091459999998,37.2283109,,,,74.0,ALeRCE,48.0,ZTF,2024-11-23 11:11:10.003,20.0666,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,ZTF24abttoju,2024TNSTR4597....1F,,2024-11-23 22:00:35,2024-11-23 22:00:35
166925,AT,2024abyr,206.9093968001017,45.47136043333333,,,,74.0,ALeRCE,48.0,ZTF,2024-11-20 11:45:05.000,19.3159,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-11-23 22:00:21,"ZTF24abttqna, ATLAS24qor",2024TNSTR4597....1F,,2024-11-23 22:00:34,2024-11-23 22:00:34
166924,AT,2024abyq,184.91218,-29.063471,,,,59.0,GOTO,59.0,GOTO,2024-11-23 17:42:22.464,18.2,120.0,L,"A. Kumar, K. Ackley, M. Dyer, F. Jiménez-Ibarra, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, G. Ramsay, K. Noysena, R. Kotak, R. Breton, L. Nuttall, E. Pallé, D. Pollacco, T. Killestein, D. O'Neill, on behalf of GOTO collaboration",2024-11-23 20:26:35,GOTO24ike,2024TNSTR4602....1K,,2024-11-23 20:26:36,2024-11-23 20:26:36
166923,AT,2024abyp,349.177859932,-15.1181958864,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-12 10:19:36.192,21.13,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-23 20:08:41,PS24liw,2024TNSTR4605....1C,,2024-11-23 20:08:42,2024-11-23 20:08:42
166922,AT,2024abyo,280.146074321,37.9587990982,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-07 05:48:46.944,20.07,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-23 20:07:55,PS24liu,2024TNSTR4605....1C,,2024-11-23 20:07:56,2024-11-23 20:07:56
166921,AT,2024abyn,32.1843242341,10.6988082644,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-12 11:20:07.584,20.85,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-23 20:06:47,PS24lit,2024TNSTR4605....1C,,2024-11-23 20:06:48,2024-11-23 20:06:48
166919,AT,2024abyl,38.8183490394,-0.841700740755,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-02 12:48:21.312,21.44,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-23 20:06:25,PS24lir,2024TNSTR4605....1C,,2024-11-23 20:06:26,2024-11-23 20:06:26
