objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
168200,AT,2024aduf,232.439125,42.921889,,,,0.0,,0.0,,2024-12-09 21:01:37.000,16.0,1.0,Clear,Koichi Itagaki,2024-12-09 21:30:19,,,,2024-12-09 21:30:20,2024-12-09 21:30:20
168191,AT,2024adtw,220.15977623332125,8.676430433333417,,,,74.0,ALeRCE,48.0,ZTF,2024-12-05 13:25:27.002,19.5969,111.0,r,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-09 17:26:11,ZTF24aahngid,,,2024-12-09 17:26:25,2024-12-09 17:26:25
168186,AT,2024adtr,195.1939525894744,77.71697010430842,,,,74.0,ALeRCE,48.0,ZTF,2024-12-06 11:18:56.002,20.3388,111.0,r,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-09 17:26:11,ZTF24abxgjrp,,,2024-12-09 17:26:20,2024-12-09 17:26:20
168185,AT,2024adtq,229.26191390000653,12.6350934,,,,74.0,ALeRCE,48.0,ZTF,2024-12-08 13:12:58.000,19.7914,111.0,r,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-09 17:26:11,ZTF24abxgkcy,,,2024-12-09 17:26:19,2024-12-09 17:26:19
168179,AT,2024adtk,179.2412781,19.7030866,,,,48.0,ZTF,48.0,ZTF,2024-11-26 10:51:57.997,20.2098,111.0,r,"Eli Gendreau-Distler (UC Berkeley), Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-12-09 14:31:22,ZTF24abvgfpw,,,2024-12-09 14:31:23,2024-12-09 14:31:23
168178,AT,2024adtj,228.1656415,6.3986506,,,,48.0,ZTF,48.0,ZTF,2024-12-05 13:33:48.000,19.6521,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-12-09 14:30:36,ZTF24abxmivu,,,2024-12-09 14:30:38,2024-12-09 14:30:38
168177,AT,2024adti,224.1429955,4.557548,,,,48.0,ZTF,48.0,ZTF,2024-12-05 13:25:27.001,20.0123,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-12-09 14:30:25,ZTF24abxmjbl,,,2024-12-09 14:30:26,2024-12-09 14:30:26
168176,AT,2024adth,170.595254,59.075414,,,,81.0,SGLF,48.0,ZTF,2024-12-05 10:17:34.000,20.586,110.0,g,"I. Pérez-Fournon (IAC and ULL), C. Jaén-Martín, D. Cano-Morales, A.E. Hernández-Díaz (ULL), F. Poidevin (IAC and ULL), C. Jiménez Ángel (GRANTECAN), Z. Delgado-González (ULL), R. Shirley (MPE), R. Marques-Chaves (Univ. of Geneva), and S. Geier (GRANTECAN & IAC)  on behalf of SGLF",2024-12-09 13:57:00,ZTF24abwjpbg,,,2024-12-09 13:57:00,2024-12-09 13:57:00
168169,AT,2024adta,184.055842,28.760046,,,,59.0,GOTO,59.0,GOTO,2024-12-09 05:07:48.864,19.08,120.0,L,"G. Ramsay, D. O'Neill, K. Ackley, M. Dyer, F. Jiménez-Ibarra, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, K. Noysena, R. Kotak, R. Breton, L. Nuttall, E. Pallé, D. Pollacco, T. Killestein, A. Kumar, on behalf of GOTO collaboration",2024-12-09 09:57:42,"GOTO24iwz, ATLAS24rib",,,2024-12-09 09:57:43,2024-12-09 20:12:50
168168,AT,2024adsz,178.07132,22.121393,,,,59.0,GOTO,59.0,GOTO,2024-12-09 06:27:39.744,19.87,120.0,L,"G. Ramsay, D. O'Neill, K. Ackley, M. Dyer, F. Jiménez-Ibarra, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, K. Noysena, R. Kotak, R. Breton, L. Nuttall, E. Pallé, D. Pollacco, T. Killestein, A. Kumar, on behalf of GOTO collaboration",2024-12-09 09:54:07,GOTO24iwv,,,2024-12-09 09:54:08,2024-12-09 09:54:08
168167,AT,2024adsy,175.562576,19.070621,,,,59.0,GOTO,59.0,GOTO,2024-12-09 06:35:21.120,19.24,120.0,L,"G. Ramsay, D. O'Neill, K. Ackley, M. Dyer, F. Jiménez-Ibarra, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, K. Noysena, R. Kotak, R. Breton, L. Nuttall, E. Pallé, D. Pollacco, T. Killestein, A. Kumar, on behalf of GOTO collaboration",2024-12-09 09:51:25,GOTO24iwu,,,2024-12-09 09:51:26,2024-12-09 09:51:26
168166,AT,2024adsx,169.653047,18.12913,,,,59.0,GOTO,59.0,GOTO,2024-12-09 06:35:21.120,19.39,120.0,L,"D. O'Neill, K. Ackley, M. Dyer, F. Jiménez-Ibarra, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, G. Ramsay, K. Noysena, R. Kotak, R. Breton, L. Nuttall, E. Pallé, D. Pollacco, T. Killestein, A. Kumar, on behalf of GOTO collaboration",2024-12-09 09:50:32,GOTO24ixf,,,2024-12-09 09:50:33,2024-12-09 09:50:33
168159,AT,2024adsq,13.2623046,-2.1670098,,,,48.0,ZTF,48.0,ZTF,2024-12-05 05:57:23.996,20.114,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-12-09 05:23:04,ZTF24abwevju,,,2024-12-09 05:23:06,2024-12-09 05:23:06
168100,AT,2024adqj,184.7382993249843,36.937145525,,,,48.0,ZTF,48.0,ZTF,2024-12-05 12:44:28.999,19.9771,110.0,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-12-08 12:14:13,ZTF24abxfuog,2024TNSTR4813....1S,,2024-12-08 12:14:14,2024-12-09 17:26:21
168072,AT,2024adpj,185.0463485,63.7425761,,,,18.0,ATLAS,18.0,ATLAS,2024-12-07 14:13:38.784,19.195,71.0,cyan,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",2024-12-07 22:17:49,"ATLAS24rfo, ZTF24abwjrqk",2024TNSTR4790....1T,,2024-12-07 22:17:50,2024-12-09 14:31:11
167980,AT,2024adlx,142.8053733,56.2700175,,,,74.0,ALeRCE,48.0,ZTF,2024-12-05 10:28:32.002,19.883,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-05 19:10:31,"ZTF22acazuyu, ZTF24abwybla",2024TNSTR4767....1M,,2024-12-05 19:10:42,2024-12-09 11:21:16
