objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
167011,SN,2024acbz,12.5499842,23.7878957,0.053,3.0,SN Ia,48.0,ZTF,48.0,ZTF,2024-11-20 06:24:35.997,19.5228,110.0,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-11-25 07:18:00,"ZTF24abtvopb, GOTO24isc",2024TNSTR4631....1S,2024TNSCR4716....1G,2024-11-25 07:18:01,2024-12-01 16:51:31
166739,AT,2024abro,356.326760377,-4.02974097827,,,,18.0,ATLAS,18.0,ATLAS,2024-11-21 01:35:36.960,19.192,71.0,cyan,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",2024-11-21 23:14:16,"ATLAS24qjv, PS24meh",2024TNSTR4563....1T,,2024-11-21 23:14:17,2024-12-01 13:20:29
166604,AT,2024abmm,162.521919665,56.2511134919,,,,48.0,ZTF,48.0,ZTF,2024-11-19 10:52:40.998,19.7464,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-11-19 12:57:55,"ZTF24abszmtu, PS24mfd",2024TNSTR4546....1S,,2024-11-19 12:57:56,2024-12-01 19:20:57
166176,AT,2024aawe,149.975365178,5.34625771485,0.001,26.0,Nova,18.0,ATLAS,18.0,ATLAS,2024-11-10 13:19:24.096,18.553,72.0,orange,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",2024-11-10 20:37:07,"ATLAS24qcl, ZTF24abrxeyt, GOTO24ieo, PS24mdt",2024TNSTR4414....1T,2024TNSCR4471....1T,2024-11-10 20:37:08,2024-12-01 12:11:58
166059,AT,2024aars,139.15885078,37.0063743687,,,,48.0,ZTF,48.0,ZTF,2024-10-31 11:12:54.002,20.67,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-11-08 12:50:38,"ZTF24abqfanc, PS24mdv",2024TNSTR4385....1S,,2024-11-08 12:50:40,2024-12-01 12:43:57
166010,AT,2024aapv,138.154412619,28.1253857802,,,,18.0,ATLAS,18.0,ATLAS,2024-11-02 13:57:07.776,19.301,71.0,cyan,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",2024-11-07 08:38:11,"ATLAS24pzq, PS24mea",2024TNSTR4364....1T,,2024-11-07 08:38:11,2024-12-01 13:17:42
164047,AT,2024xwb,146.068078968,31.5931997408,,,,48.0,ZTF,48.0,ZTF,2024-10-12 11:17:47.996,19.5275,110.0,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-10-12 14:37:40,"ZTF24abluhsy, PS24mdy",2024TNSTR3969....1S,,2024-10-12 14:37:41,2024-12-01 13:17:04
162854,AT,2024wtz,30.2999175508,11.4264517029,,,,74.0,ALeRCE,48.0,ZTF,2024-09-24 09:25:39.000,20.4844,110.0,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-09-28 23:27:23,"ZTF24abjqxnc, GOTO24gjc, PS24mcn",2024TNSTR3746....1F,,2024-09-28 23:27:26,2024-12-01 11:55:58
162845,AT,2024wtq,14.2426716472,-15.1930966719,,,,83.0,YSE,4.0,Pan-STARRS,2024-09-28 10:14:26.016,19.4,57.0,r,"D. O. Jones (UC Santa Cruz), K. D. French (Carnegie, Illinois), A. Agnello, C. R. Angus, Z. Ansari, N. Arendse, C. Gall, C. Grillo, S. H. Bruun, C. Hede, J. Hjorth, L. Izzo, H. Korhonen, S. Raimundo, D. Kodi Ramanah, A. Sarangi, R. Wojtak, H. Pfister (DARK, U Copenhagen), K. Auchettl (DARK, UC Santa Cruz, U Melbourne), K. C. Chambers, M. E. Huber, E. A. Magnier, T. J. L. de Boer, J. R. Fairlamb, C. C. Lin, R. J. Wainscoat, T. Lowe, H. Gao, J. Herman, A. S. B. Schultz, P. Minguez (IfA, Hawaii), A. Engel, A. Gagliano, G. Narayan, M. Soraisam (Illinois), Q. Wang (JHU), A. Rest (JHU, STScI), S. J. Smartt, K. W. Smith (Queen's University Belfast), K. Alexander, P. Blanchard, L. DeMarchi, A. Hajela, W. Jacobson-Galan, R. Margutti, D. Matthews, C. Stauffer, M. Stroh, G. Terreran (Northwestern), M. Drout (U Toronto), D. A. Coulter, G. Dimitriadis, R. J. Foley, T. Hung, C. D. Kilpatrick, C. Rojas-Bravo, M. R. Siebert (UC Santa Cruz), E. Ramirez-Ruiz (UC Santa Cruz, DARK)",2024-09-28 21:14:52,"PS24jgg, GOTO24gjb, ATLAS24orp",2024TNSTR3754....1J,,2024-09-28 21:14:53,2024-12-01 11:48:40
160803,SN,2024twn,31.9975377991,-6.1221422386,0.12,3.0,SN Ia,74.0,ALeRCE,48.0,ZTF,2024-08-29 10:08:59.001,19.522,110.0,g,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-08-29 16:31:24,"ZTF24abdouuc, ATLAS24nzw, PS24mcl",2024TNSTR3157....1M,2024TNSCR3408....1R,2024-08-29 16:31:34,2024-12-01 11:55:10
160209,AT,2024szs,17.1938381505,5.39890812077,,,,74.0,ALeRCE,48.0,ZTF,2024-08-27 11:07:04.999,19.7179,110.0,g,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-08-27 20:11:23,"ZTF24abdaunk, PS24mbo",2024TNSTR3104....1M,,2024-08-27 20:11:35,2024-12-01 11:40:30
150164,SN,2024gyt,139.987054913,0.937635263655,0.018,10.0,SN II,18.0,ATLAS,18.0,ATLAS,2024-04-20 07:42:30.816,17.897,72.0,orange,"J. Tonry, L. Denneau, H. Weiland, A. Lawrence, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt (Oxford/QUB), K. W. Smith, D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, P. Ramsden, C. R. Angus (Queen's University Belfast), A. Aamer (QUB/Birmingham), L. Shingles (GSI/QUB), S. Srivastav, J. Gillanders, L. Rhodes, A. Andersson, H. Stevance (Oxford), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. Sommer (LMU/QUB)",2024-04-20 19:42:57,"ATLAS24gdo, PS24byb",2024TNSTR1145....1T,2024TNSCR1251....1B,2024-04-20 19:42:58,2024-12-01 12:09:57
