objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
168397,AT,2024aebu,239.887917,38.137581,,,,24.0,GaiaAlerts,24.0,GaiaAlerts,2024-12-13 14:25:26.400,18.51,75.0,G,"S.T. Hodgkin, E. Breedt, A. Delgado, D.L. Harrison, M. van Leeuwen, G. Rixon, T. Wevers, A. Yoldas (IoA Cambridge), N. Ihanec, K. Kruszyńska, K.A. Rybicki, Ł. Wyrzykowski (Warsaw University Astronomical Observatory), Z. Kostrzewa-Rutkowska (Leiden Observatory), D. Eappachen (SRON/RU), G. Marton (Konkoly Observatory), on behalf of the Gaia Alerts team",2024-12-15 17:35:11,Gaia24dqr,,,2024-12-15 17:35:12,2024-12-15 17:35:12
168396,AT,2024aebt,135.0970167,64.8614546,,,,48.0,ZTF,48.0,ZTF,2024-12-14 06:16:16.000,19.5589,110.0,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-12-15 17:05:51,ZTF24abxylal,,,2024-12-15 17:05:52,2024-12-15 17:05:52
168394,AT,2024aebr,20.8808838982,8.79531668518,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-11-21 06:18:06.048,20.0,26.0,w,"K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-12-15 16:55:31,PS24mqe,,,2024-12-15 16:55:32,2024-12-15 16:55:32
168393,AT,2024aebq,129.708308806,18.9044880465,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-11-02 14:29:11.040,19.34,26.0,w,"K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-12-15 16:25:11,PS24mpt,,,2024-12-15 16:25:12,2024-12-15 16:25:12
168392,AT,2024aebp,203.5612929,-6.754273,,,,74.0,ALeRCE,48.0,ZTF,2024-12-15 13:33:45.996,19.0586,111.0,r,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-15 15:44:33,ZTF24abxypwh,,,2024-12-15 15:44:34,2024-12-15 15:44:34
168389,AT,2024aebm,136.46414,1.12903,,,,18.0,ATLAS,18.0,ATLAS,2024-12-15 06:21:30.816,17.971,72.0,orange,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",2024-12-15 14:22:16,ATLAS24rkk,,,2024-12-15 14:22:17,2024-12-15 14:22:17
168388,AT,2024aebl,238.9914399,18.0478274,,,,48.0,ZTF,48.0,ZTF,2024-12-08 13:15:48.000,19.7899,111.0,r,"Nabeel Rehemtulla (CIERA, NU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-12-15 13:27:10,ZTF24abxypih,,,2024-12-15 13:27:11,2024-12-15 13:27:11
168386,AT,2024aebj,194.772641994,-3.14620694075,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-12-02 15:14:30.912,20.3,26.0,w,"K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-12-15 12:18:06,PS24mpn,,,2024-12-15 12:18:07,2024-12-15 12:18:07
168385,AT,2024aebi,149.7376672,35.6384548,,,,48.0,ZTF,48.0,ZTF,2024-12-11 12:25:44.002,19.7028,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-12-15 12:05:11,ZTF24abxyfev,,,2024-12-15 12:05:14,2024-12-15 12:05:14
168374,AT,2024aeax,164.178206227,23.8504522313,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-12-08 13:47:47.904,20.53,26.0,w,"K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-12-15 10:58:31,PS24mnb,,,2024-12-15 10:58:32,2024-12-15 10:58:32
