objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
167513,AT,2024acui,309.313868982,3.70108652796,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-01 06:24:17.568,20.91,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:19:53,PS24lwu,2024TNSTR4696....1C,,2024-11-30 23:19:54,2024-11-30 23:19:54
167512,AT,2024acuh,36.7354589354,7.75792768908,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-30 12:32:03.264,20.09,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:19:38,PS24lwt,2024TNSTR4696....1C,,2024-11-30 23:19:39,2024-11-30 23:19:39
167511,AT,2024acug,32.7268912529,23.9097548244,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-28 10:20:15.936,20.7,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:19:28,PS24lws,2024TNSTR4696....1C,,2024-11-30 23:19:28,2024-11-30 23:19:28
167510,AT,2024acuf,316.265728213,-21.335490413,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-09 08:31:11.136,20.68,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:19:19,PS24lwr,2024TNSTR4696....1C,,2024-11-30 23:19:19,2024-11-30 23:19:19
167509,AT,2024acue,35.7496283214,14.4960099115,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-12 11:22:58.656,20.19,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:19:04,PS24lwq,2024TNSTR4696....1C,,2024-11-30 23:19:05,2024-11-30 23:19:05
167508,AT,2024acud,58.0572327433,-22.7021547069,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-10 13:55:20.640,20.42,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:17:53,PS24lwm,2024TNSTR4696....1C,,2024-11-30 23:17:54,2024-11-30 23:17:54
167507,AT,2024acuc,340.2617596,3.24585784156,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-29 06:40:37.344,20.49,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:16:37,PS24lwl,2024TNSTR4696....1C,,2024-11-30 23:16:38,2024-11-30 23:16:38
167506,AT,2024acub,353.678204969,-1.00789841332,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-04 11:08:08.736,21.4,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:16:09,PS24lwk,2024TNSTR4696....1C,,2024-11-30 23:16:10,2024-11-30 23:16:10
167505,AT,2024acua,23.373184483,-10.3959402212,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-11 11:36:04.032,21.22,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:15:34,PS24lwh,2024TNSTR4696....1C,,2024-11-30 23:15:35,2024-11-30 23:15:35
167504,AT,2024actz,51.2099354449,3.90297069104,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-26 14:14:24.576,19.89,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:15:22,PS24lwg,2024TNSTR4696....1C,,2024-11-30 23:15:23,2024-11-30 23:15:23
